taxonomy,sec_concept,canonical_metric,expected_period_type,expected_unit,priority
us-gaap,Assets,TOTAL_ASSETS,instant,USD,1
us-gaap,AssetsCurrent,CURRENT_ASSETS,instant,USD,1
us-gaap,Liabilities,TOTAL_LIABILITIES,instant,USD,1
us-gaap,LiabilitiesCurrent,CURRENT_LIABILITIES,instant,USD,1
us-gaap,CashAndCashEquivalentsAtCarryingValue,CASH,instant,USD,1
us-gaap,RevenueFromContractWithCustomerExcludingAssessedTax,REVENUE,duration,USD,1
us-gaap,Revenues,REVENUE,duration,USD,2
us-gaap,SalesRevenueNet,REVENUE,duration,USD,3
us-gaap,NetIncomeLoss,NET_INCOME,duration,USD,1
us-gaap,NetCashProvidedByUsedInOperatingActivities,OPERATING_CASH_FLOW,duration,USD,1
us-gaap,LongTermDebtCurrent,CURRENT_DEBT,instant,USD,1
us-gaap,LongTermDebtNoncurrent,LONG_TERM_DEBT,instant,USD,1
